country,date,Renewable Energy Consumption (TJ)
Romania,2014,216582.3
Romania,2013,206941.3
Romania,2012,202338.2
Romania,2011,194702.7
Romania,2010,220239.0
Romania,2009,201245.8
Romania,2008,204146.4
Romania,2007,175916.3
Romania,2006,172924.7
Slovak Republic,2016,
Slovak Republic,2015,50516.66
Slovak Republic,2014,45203.45
Slovak Republic,2013,42541.89
Slovak Republic,2012,40631.27
Slovak Republic,2011,42163.81
Slovak Republic,2010,44596.76
Slovak Republic,2009,40395.97
Slovak Republic,2008,33595.95
Slovak Republic,2007,35058.36
Slovak Republic,2006,27772.28
Slovenia,2016,
Slovenia,2015,40762.94
Slovenia,2014,42618.89
Slovenia,2013,43920.92
Slovenia,2012,40214.33
Slovenia,2011,38904.87
Slovenia,2010,40917.03
Slovenia,2009,38311.66
Slovenia,2008,30358.91
Slovenia,2007,28682.43
Slovenia,2006,29707.29
Sweden,2016,
Sweden,2015,679811.9
Sweden,2014,622659.8
Sweden,2013,619211.8
Sweden,2012,650364.5
Sweden,2011,604701.0
Sweden,2010,630467.9
Sweden,2009,596301.6
Sweden,2008,580866.5
Sweden,2007,574613.0
Sweden,2006,548249.7
